City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description,Rain Inches(last 3 hrs),Snow Inches(last 3 hrs)
124,Kigorobya,UG,2020-02-22 06:42:00,1.62,31.31,80.83,46,99,2.01,overcast clouds,0.0,0.0
125,Cherskiy,RU,2020-02-22 06:42:00,68.75,161.3,-18.98,98,100,3.98,overcast clouds,0.0,0.0
126,San Cristobal,VE,2020-02-22 06:42:00,7.77,-72.22,78.8,78,40,2.24,haze,0.0,0.0
127,Port Alfred,ZA,2020-02-22 06:42:00,-33.59,26.89,69.01,88,96,5.99,light rain,0.19,0.0
128,Beyneu,KZ,2020-02-22 06:42:01,45.32,55.2,36.28,68,0,5.17,clear sky,0.0,0.0
129,Qasigiannguit,GL,2020-02-22 06:42:01,68.82,-51.19,-5.8,53,100,4.7,overcast clouds,0.0,0.0
130,Makakilo City,US,2020-02-22 06:41:57,21.35,-158.09,75.2,69,20,4.7,few clouds,0.0,0.0
131,Katsuura,JP,2020-02-22 06:42:02,35.13,140.3,64.0,55,40,25.28,scattered clouds,0.0,0.0
132,Solvychegodsk,RU,2020-02-22 06:42:02,61.33,46.92,33.37,88,98,10.78,overcast clouds,0.0,0.0
133,Iskateley,RU,2020-02-22 06:42:02,67.68,53.15,26.96,88,100,24.18,overcast clouds,0.0,0.0
134,Nchelenge,ZM,2020-02-22 06:42:02,-9.35,28.73,71.78,89,96,3.44,overcast clouds,0.0,0.0
135,Cotonou,BJ,2020-02-22 06:42:02,6.37,2.42,82.4,88,40,3.36,scattered clouds,0.0,0.0
136,Coihaique,CL,2020-02-22 06:42:03,-45.58,-72.07,43.02,47,0,2.15,clear sky,0.0,0.0
137,Seoul,KR,2020-02-22 06:41:30,37.57,126.98,46.4,52,75,3.36,broken clouds,0.0,0.0
138,Catarman,PH,2020-02-22 06:42:03,12.5,124.64,79.09,76,57,14.41,light rain,0.31,0.0
139,Aleksandrov Gay,RU,2020-02-22 06:42:03,50.15,48.57,28.51,85,100,9.69,overcast clouds,0.0,0.0
140,Rabo De Peixe,PT,2020-02-22 06:42:04,37.8,-25.58,50.0,81,20,5.82,few clouds,0.0,0.0
141,Cam Ranh,VN,2020-02-22 06:42:04,11.92,109.16,86.0,62,75,23.04,broken clouds,0.0,0.0
142,Dicabisagan,PH,2020-02-22 06:42:04,17.08,122.42,76.8,68,8,14.41,light rain,0.38,0.0
143,Acapulco,MX,2020-02-22 06:37:13,16.86,-99.89,77.0,94,5,3.36,clear sky,0.0,0.0
144,Buzuluk,RU,2020-02-22 06:42:04,52.78,52.26,27.81,95,91,1.61,overcast clouds,0.0,0.0
145,Labuhan,ID,2020-02-22 06:42:05,-6.88,112.21,86.67,73,12,9.55,light rain,1.06,0.0
146,Shubarshi,KZ,2020-02-22 06:41:06,48.59,57.19,21.99,84,100,8.84,overcast clouds,0.0,0.0
147,Russkaya Polyana,UA,2020-02-22 06:42:05,49.42,31.92,33.44,75,1,5.5,clear sky,0.0,0.0
148,Lekoni,GA,2020-02-22 06:42:05,-1.58,14.26,76.89,79,100,3.71,light rain,0.81,0.0
149,Severnoye,RU,2020-02-22 06:42:06,56.35,78.36,29.07,96,48,4.18,scattered clouds,0.0,0.0
150,Umtata,ZA,2020-02-22 06:42:06,-31.59,28.78,77.0,65,58,1.12,broken clouds,0.0,0.0
151,Clarence Town,AU,2020-02-22 06:42:06,-32.58,151.78,75.99,78,75,16.11,broken clouds,0.0,0.0
152,Vestmannaeyjar,IS,2020-02-22 06:42:06,63.44,-20.27,34.09,71,100,24.4,overcast clouds,0.0,0.0
153,Kruisfontein,ZA,2020-02-22 06:42:07,-34.0,24.73,67.57,71,1,8.14,clear sky,0.0,0.0
154,Lazaro Cardenas,MX,2020-02-22 06:42:07,17.96,-102.2,72.32,84,0,3.36,clear sky,0.0,0.0
155,Severo-Kurilsk,RU,2020-02-22 06:42:07,50.68,156.12,15.85,88,94,23.0,light snow,0.0,0.38
156,Saint-Philippe,RE,2020-02-22 06:42:07,-21.36,55.77,84.2,58,24,16.11,few clouds,0.0,0.0
157,Menongue,AO,2020-02-22 06:42:08,-14.66,17.69,65.71,89,98,3.31,light rain,0.13,0.0
158,Ayan,RU,2020-02-22 06:42:08,56.45,138.17,8.51,86,77,3.13,broken clouds,0.0,0.0
159,Arraial Do Cabo,BR,2020-02-22 06:42:08,-22.97,-42.03,76.55,90,98,10.58,light rain,1.44,0.0
160,Chadiza,ZM,2020-02-22 06:42:08,-14.07,32.44,73.04,82,82,3.76,broken clouds,0.0,0.0
161,Nyurba,RU,2020-02-22 06:42:08,63.28,118.33,-0.11,93,97,3.15,overcast clouds,0.0,0.0
162,Borogontsy,RU,2020-02-22 06:42:09,62.67,131.17,0.05,92,94,2.08,overcast clouds,0.0,0.0
163,Tekkali,IN,2020-02-22 06:42:09,18.62,84.23,86.36,27,0,7.11,clear sky,0.0,0.0
164,Warmbad,NA,2020-02-22 06:42:09,-28.45,18.73,71.76,35,45,6.22,scattered clouds,0.0,0.0
165,Talnakh,RU,2020-02-22 06:42:09,69.49,88.4,10.4,85,76,4.47,broken clouds,0.0,0.0
166,Dom Pedro,BR,2020-02-22 06:42:09,-4.48,-44.45,71.76,99,100,1.32,light rain,0.5,0.0
167,Vila Velha,BR,2020-02-22 06:42:10,-20.33,-40.29,73.4,94,75,4.7,broken clouds,0.0,0.0
168,Bilibino,RU,2020-02-22 06:42:10,68.05,166.44,-18.33,98,100,2.62,overcast clouds,0.0,0.0
169,Sarakhs,IR,2020-02-22 06:42:10,36.54,61.16,50.0,81,0,2.24,clear sky,0.0,0.0
170,Kavieng,PG,2020-02-22 06:42:11,-2.57,150.8,83.77,77,11,12.19,light rain,1.63,0.0
171,Tautira,PF,2020-02-22 06:42:11,-17.73,-149.15,82.4,74,20,3.36,few clouds,0.0,0.0
172,Sept-Iles,CA,2020-02-22 06:42:11,50.2,-66.38,21.2,79,90,5.82,light snow,0.0,0.0
173,Qaqortoq,GL,2020-02-22 06:42:11,60.72,-46.03,19.4,44,16,3.36,few clouds,0.0,0.0
174,Morondava,MG,2020-02-22 06:42:11,-20.28,44.28,81.16,79,100,7.38,overcast clouds,0.0,0.0
175,Mapiripan,CO,2020-02-22 06:42:12,2.89,-72.13,81.97,57,83,2.64,broken clouds,0.0,0.0
176,Charters Towers,AU,2020-02-22 06:42:12,-20.1,146.27,85.5,61,90,17.4,overcast clouds,0.0,0.0
177,Iqaluit,CA,2020-02-22 06:42:12,63.75,-68.51,-34.01,65,5,3.36,clear sky,0.0,0.0
178,Ossora,RU,2020-02-22 06:42:13,59.24,163.07,-8.03,68,26,1.52,scattered clouds,0.0,0.0
179,Souillac,MU,2020-02-22 06:42:13,-20.52,57.52,82.99,58,20,5.82,few clouds,0.0,0.0
180,Uttarkashi,IN,2020-02-22 06:42:13,30.73,78.45,61.43,28,0,3.58,clear sky,0.0,0.0
181,Lagoa,PT,2020-02-22 06:42:13,39.05,-27.98,60.1,78,52,8.16,broken clouds,0.0,0.0
182,Yarensk,RU,2020-02-22 06:42:13,62.17,49.09,32.22,91,98,12.37,overcast clouds,0.0,0.0
183,San Andres,CO,2020-02-22 06:42:14,12.58,-81.7,80.6,78,20,10.29,few clouds,0.0,0.0
184,Pringsewu,ID,2020-02-22 06:42:14,-5.36,104.97,87.44,59,8,7.25,clear sky,0.0,0.0
185,Nahavand,IR,2020-02-22 06:42:14,34.19,48.38,37.92,47,5,5.12,clear sky,0.0,0.0
186,Port Augusta,AU,2020-02-22 06:42:14,-32.5,137.77,88.0,39,0,12.75,clear sky,0.0,0.0
187,Puerto Quijarro,BO,2020-02-22 06:42:14,-17.78,-57.77,68.52,89,100,7.43,light rain,0.94,0.0
188,Ancud,CL,2020-02-22 06:42:15,-41.87,-73.82,51.8,66,0,5.82,clear sky,0.0,0.0
