City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
172,New Norfolk,AU,2020-02-18 04:50:38,-42.78,147.06,70.0,52,75,17.22
173,Barrow,US,2020-02-18 04:50:39,71.29,-156.79,-41.8,70,40,3.36
174,Necochea,AR,2020-02-18 04:50:39,-38.55,-58.74,64.99,95,86,8.01
175,Tazmalt,DZ,2020-02-18 04:50:40,36.39,4.4,55.4,87,75,3.36
176,Constantine,DZ,2020-02-18 04:47:29,36.37,6.61,39.2,93,0,2.24
177,Kodiak,US,2020-02-18 04:50:40,57.79,-152.41,39.2,80,90,17.22
178,Batemans Bay,AU,2020-02-18 04:49:52,-35.72,150.18,82.0,78,96,10.0
179,Kassala,SD,2020-02-18 04:50:40,15.45,36.4,74.77,63,18,5.01
180,Nortelandia,BR,2020-02-18 04:50:41,-14.45,-56.8,72.59,94,75,4.18
181,Faya,SA,2020-02-18 04:50:41,18.39,42.45,59.0,54,0,10.29
182,Arraial Do Cabo,BR,2020-02-18 04:50:41,-22.97,-42.03,78.8,83,82,16.11
183,Yar-Sale,RU,2020-02-18 04:50:42,66.83,70.83,16.23,93,100,26.28
184,Salta,AR,2020-02-18 04:50:43,-24.79,-65.41,77.0,88,75,4.7
185,Praia Da Vitoria,PT,2020-02-18 04:50:43,38.73,-27.07,50.0,87,40,8.55
186,Santa Rosa,PH,2020-02-18 04:50:43,14.31,121.11,86.0,58,40,9.17
187,La Asuncion,VE,2020-02-18 04:50:43,11.03,-63.86,77.0,94,84,13.87
188,Barkhan,PK,2020-02-18 04:50:44,29.9,69.53,65.17,11,44,4.05
189,Charlestown,AU,2020-02-18 04:45:48,-32.95,151.67,95.0,49,20,8.05
190,Taksimo,RU,2020-02-18 04:45:47,56.34,114.88,13.21,64,68,5.17
191,Omsukchan,RU,2020-02-18 04:50:44,62.53,155.8,-20.65,100,100,5.66
192,Lavrentiya,RU,2020-02-18 04:50:45,65.58,-171.0,-1.79,86,100,16.08
193,Vilhena,BR,2020-02-18 04:45:58,-12.74,-60.15,70.72,98,15,1.63
194,Naze,JP,2020-02-18 04:50:45,28.37,129.48,59.0,54,75,12.75
195,Shkotovo,RU,2020-02-18 04:50:45,43.33,132.36,24.8,32,0,11.18
196,Terrace,CA,2020-02-18 04:50:45,54.52,-128.6,35.6,80,20,9.17
197,Los Andes,CL,2020-02-18 04:50:40,-32.83,-70.6,70.0,40,0,11.41
198,Mamaku,NZ,2020-02-18 04:50:46,-38.1,176.08,78.01,75,97,1.99
199,Gravdal,NO,2020-02-18 04:50:46,68.12,13.5,35.6,94,75,21.92
200,Catia La Mar,VE,2020-02-18 04:50:46,10.6,-67.03,75.2,94,72,6.93
201,Sao Filipe,CV,2020-02-18 04:50:46,14.9,-24.5,76.71,46,56,16.37
202,Pescara,IT,2020-02-18 04:50:47,42.33,13.95,46.99,93,29,5.82
203,Northam,GB,2020-02-18 04:50:47,51.03,-4.22,45.0,86,20,9.17
204,Bandarbeyla,SO,2020-02-18 04:50:47,9.49,50.81,78.26,74,72,12.21
205,Waitati,NZ,2020-02-18 04:50:47,-45.75,170.57,61.0,82,75,3.74
206,Badou,TG,2020-02-18 04:50:48,7.58,0.6,71.02,97,0,2.35
207,Oytal,KZ,2020-02-18 04:50:48,42.91,73.27,30.02,94,100,7.34
208,Kavaratti,IN,2020-02-18 04:50:48,10.57,72.64,84.2,74,20,4.7
209,Khatanga,RU,2020-02-18 04:50:48,71.97,102.5,-3.73,86,32,8.12
210,Hualmay,PE,2020-02-18 04:50:49,-11.1,-77.61,69.33,84,93,2.95
211,Penzance,GB,2020-02-18 04:50:49,50.12,-5.54,48.0,81,53,20.8
212,Saint George,US,2020-02-18 04:47:56,37.1,-113.58,51.8,50,1,3.15
213,Nome,US,2020-02-18 04:46:50,64.5,-165.41,19.99,79,90,17.22
